sample_index,record_id,question,query,model_ok,model_elapsed_s,model_completion_tokens,search_ok,search_elapsed_s,search_result_count,search_error
0,5adeb95d5542992fa25da827,Are Chlidanthus and Maianthemum both flowering plants?,Are Chlidanthus and Maianthemum both flowering plants?,True,0.9815160080324858,35,True,0.08241171110421419,10,
1,5a7dd9445542997cc2c474ac,"Which novelist, J. G. Farrell or Louis Aragon, wrote of the political and human consequences of his country's colonial rule?","Which novelist, J. G. Farrell or Louis Aragon, wrote of the political and human consequences of his country's colonial rule?",True,0.21348292008042336,48,True,0.0876523561310023,6,
2,5adf8fe55542993344016d0f,"Which fantasy film from 1971 featured the song ""The Age of Not Believing""?","Which fantasy film from 1971 featured the song ""The Age of Not Believing""?",True,0.1733398789074272,41,True,0.0861670458689332,8,
3,5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",Buck-Tick origin,True,0.11346515105105937,25,True,0.08789617801085114,8,
4,5a72a9ab5542992359bc315a,Which North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people?,North American tribe inhabited the banks of the Winnipesaukee River and were also known as the Pawtucket people,True,0.17667784309014678,42,True,0.09104796615429223,9,
5,5abe7eb05542993f32c2a12c,When was the date of birth of one of the founder of Congo Reform Association?,date of birth of one of the founder of Congo Reform Association,True,0.1443473871331662,33,True,0.09139766707085073,9,
6,5ab6aaff55429953192ad35b,What Cayman Islands registered Mandarin and Cantonese-language television broadcaster launched Phoenix Hong Kong Channel on 28 March 2011?,Cayman Islands registered Mandarin and Cantonese-language television broadcaster launched Phoenix Hong Kong Channel on 28 March 2011,True,0.19990906887687743,48,True,0.08503606310114264,9,
7,5ab9d44255429939ce03dc36,The History of Ranching is a mural that was originally located at an American brewery that in 1999 began trasfering its production to who?,The History of Ranching mural American brewery production transfer 1999,True,0.15238834195770323,35,True,0.0859057791531086,10,
8,5a8979f4554299669944a52e,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,middle name of the actress who plays Bobbi Bacha in Suburban Madness,True,0.15140888700261712,35,True,0.08772419393062592,9,
9,5adcfbf45542990d50227d86,Into Dust is a song by the alternative rock band formed in which city?,Into Dust song by alternative rock band formed in which city,True,0.1353752939030528,31,True,0.08657698193565011,8,
10,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,What type of media does Bitter Jester and Sicko have in common?,True,0.15663649002090096,36,True,1.1710651849862188,9,
11,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Tara Strong major voice role in animated series Teen Titans,True,0.13989742402918637,32,True,2.080373757984489,10,
